Time-step Temperature Pxz
157500 249.13427994265032339 -5.2917622983391616742
161000 245.68294089759271515 -17.22020887949945589
164500 248.8469067807577062 81.68260752041454964
168000 245.692665863911202 80.752432448661849662
171500 249.77477611562042625 81.903067103780458069
175000 254.46322829903022011 -117.86818991837931492
178500 257.12453363050775579 -101.23693650877505945
182000 248.9769481231005841 -60.149945398061667845
185500 254.29939341086111426 -31.321984473109836244
189000 264.41137932236608776 66.093692048931004024
192500 254.88448128248384705 -17.443733398359558606
196000 257.10308564753631799 42.11194886642839208
199500 262.65257994181803269 -105.77757143687151142
203000 262.99367347112280413 -80.663578524781073043
206500 268.16529805518757712 43.356627031282236828
210000 251.43523444123536592 -57.674030576404575754
213500 261.18576855270094939 -9.4276185163618073659
217000 251.65833255437854632 -40.259221807374530044
220500 247.0496752732700827 42.440520586625979149
224000 255.89612126942611781 -47.954522298555190218
227500 252.89532762094881946 -179.25399059926749601
231000 252.87125255791244172 48.596432272154231669
234500 253.35048492759011651 -39.183796204997740631
238000 250.21305060259680886 35.968723664203444912
241500 245.51204709124124292 -40.458176701385134777
245000 251.26901404081712599 -20.126343751292964157
248500 259.6831557182921415 65.26746386454038884
252000 246.83583581116076289 -124.33225068988497242
255500 245.78643541203751965 -85.313727330014941685
259000 254.26002580651308449 -42.485890422643308284
262500 258.10450950659992486 -60.397164822992927213
266000 254.70835908202886344 -19.186051164839792449
269500 259.90248048635953637 2.6566917767551507801
273000 250.47292227138311205 97.459663659128096924
276500 253.40810541034613834 -74.03279231363568158
280000 253.96817625981424271 -15.531899878337343424
283500 249.25066931232632328 -14.8630595029668644
287000 255.12866572854309766 -75.374933654376675918
290500 247.13641986700042708 127.27249719265665817
294000 258.1937253602650344 41.021929093956813972
297500 251.14541612652959657 -72.923139855973658996
301000 257.59358344701604437 105.94448844167581569
304500 260.26476688300755313 -47.9478950265855417
308000 249.10819900351847878 -30.996987172576922376
311500 246.35066535431803914 -8.3965495694911211899
315000 259.85760198889011008 52.263793307949555356
318500 251.92563607747308652 25.1526618461168745
322000 245.54573550193418896 -26.019940481641601338
325500 247.68198360445668982 -85.41965052679373116
329000 252.1381893265758265 13.190570607147277471
332500 253.44946782806019314 176.27465927754974473
336000 260.82618251442477231 -81.739620108407834209
339500 252.58300490054696752 53.636406011430267426
343000 254.94495335870962549 27.835869600907233945
346500 258.56078368852905669 34.807092893812402679
350000 256.68861202477899042 -130.32943346468650248
353500 257.30036254596438994 12.005691737085912862
357000 254.6471645595332518 -29.817194645409301756
360500 253.55362972443967351 -83.928304059937815396
364000 252.74417496820154838 -26.015825415700490453
367500 245.72974794547639021 -91.310319679267308857
371000 253.57691883120486409 83.351499485878065343
374500 256.83231126260869814 -137.49410587231861314
378000 257.45852884605739064 -67.903271097357148278
381500 252.43120231097938699 -9.8332615688944322585
385000 258.69159375987402427 -81.675556088561691581
388500 259.58385106546000998 -9.5876967868342859447
392000 257.1155553161488001 68.352351028765141905
395500 254.85926692810397753 -56.900231428212912022
399000 256.3057633642096107 71.764685984769073457
402500 254.61122481170693277 43.420350641681338288
406000 253.91177324428184647 -53.464214261044936904
409500 258.52559158511138548 -44.730187402813513131
413000 254.98345760105587487 18.678372915325642367
416500 254.65766945267932897 -123.8104114125622317
420000 250.77071217388910895 -83.338710859076016391
423500 249.11567149725419767 -72.467013792813617101
427000 251.20753108892910177 -4.9903531206966116329
430500 253.0541997716240985 -119.95510989916132871
434000 252.26699554597416864 -86.352038588858363255
437500 257.98994983060805453 67.66207292728181244
441000 262.57467172268292188 17.243647358717076656
444500 257.30259741589071609 141.38331923990858741
448000 255.57910848989561714 -54.507051100958044287
451500 255.88639495349565323 56.041225996318502212
455000 248.43121893190459559 -22.570231303624158414
458500 260.16331190882857527 70.737038572572529915
462000 254.66918961768251961 -30.379123231376901515
465500 259.99177280970940274 3.2988729778946672688
469000 255.12349820571742498 16.524231432737011005
472500 255.43303647444443527 -123.47852478523404329
476000 264.34501741336265468 -100.11242910717639631
479500 251.58806751482023856 64.570744138400527845
483000 253.61445368335239436 -182.6367496170053073
486500 257.21832067727353888 -125.13265580316205217
490000 250.31339664946619905 125.33041730954082027
493500 251.1669232869730024 -9.8939017911426532237
497000 264.08819803287906325 -108.4533264041964884
500500 262.57680633763686728 -16.757899481637370087
504000 253.05409536547941229 -44.882018752597403477
507500 254.38932786715190559 -216.80982459227857362
511000 244.96915376355457283 -145.08292066298386658
514500 254.11126579889975119 -54.841280295968964253
518000 254.56951981070631064 -46.808306569578299161
521500 247.66898817200547001 -97.10277271029931967
