# Chunk-averaged data for fix binvelocity_data and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
161000 31 1949.0000000000002
  10 17.4167 49.1634 -0.000309111
  11 19.25 45.6151 -0.000180767
  12 21.0833 49.9277 -0.000374428
  13 22.9167 47.0889 -0.00022147
  14 24.75 47.9171 5.26705e-05
  15 26.5833 49.2083 0.000160613
  16 28.4167 47.6406 0.000247181
  17 30.25 48.6797 8.7582e-05
  18 32.0833 45.1743 0.000367008
  19 33.9167 46.4106 0.000176123
  20 35.75 47.5897 0.000303261
  21 37.5833 47.3726 0.0001104
  22 39.4167 46.9014 0.000417931
  23 41.25 48.1811 0.000442429
  24 43.0833 52.8243 0.000314662
  25 44.9167 38.7991 0.000594671
  26 46.75 74.7717 0.000513077
  27 48.5833 0.297143 0.00133329
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
182000 31 1948.9999999999998
  1 0.916667 362 -0.0017
  2 2.75 65.3054 -0.000685231
  3 4.58333 33.7206 -0.000536295
  4 6.41667 57.2474 -0.000394001
  5 8.25 44.7511 -0.000333391
  6 10.0833 48.1909 -0.000141967
  7 11.9167 48.098 -3.27545e-05
  8 13.75 49.9226 8.72592e-05
  9 15.5833 46.7174 -7.11537e-05
  10 17.4167 50.2466 -0.000113526
  11 19.25 47.5354 -0.000335735
  12 21.0833 48.2794 -9.93544e-05
  13 22.9167 50.5486 7.76656e-05
  14 24.75 45.8397 -2.54436e-05
  15 26.5833 46.8377 -0.000237758
  16 28.4167 47.8934 -7.53517e-05
  17 30.25 48.8586 7.23094e-05
  18 32.0833 46.7877 6.8103e-05
  19 33.9167 47.6791 0.000202906
  20 35.75 47.2003 0.000483218
  21 37.5833 49.0714 0.000467674
  22 39.4167 42.9329 0.000166444
  23 41.25 51.1011 0.000203602
  24 43.0833 49.5823 0.000217177
  25 44.9167 34.3437 0.000370566
  26 46.75 76.1046 0.000493611
  27 48.5833 0.204 0.00011928
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
185500 31 1949
  1 0.916667 362 -0.0017
  2 2.75 67.5629 1.37823e-05
  3 4.58333 31.5217 -0.000140351
  4 6.41667 58.618 -6.40276e-05
  5 8.25 45.6257 -0.00019072
  6 10.0833 46.3903 -0.000392092
  7 11.9167 51.9423 -0.000179013
  8 13.75 46.3689 3.42679e-05
  9 15.5833 50.158 9.19416e-06
  10 17.4167 45.6269 -0.000129945
  11 19.25 49.266 -0.000413693
  12 21.0833 48.7231 -0.000175868
  13 22.9167 48.6417 -0.000186223
  14 24.75 46.2783 -6.12194e-05
  15 26.5833 46.8189 -0.000110605
  16 28.4167 48.1029 0.000166988
  17 30.25 48.8569 0.000307613
  18 32.0833 47.4577 0.000264549
  19 33.9167 49.2129 5.95559e-05
  20 35.75 47.9649 3.9823e-05
  21 37.5833 48.1509 4.75096e-05
  22 39.4167 45.9174 -1.10533e-05
  23 41.25 45.6577 4.62903e-05
  24 43.0833 51.9723 0.000662652
  25 44.9167 34.9049 7.95764e-05
  26 46.75 73.1809 0.000294199
  27 48.5833 0.0782857 0.00125629
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
189000 31 1949
  1 0.916667 362.118 -0.00170004
  2 2.75 63.1037 -0.000318075
  3 4.58333 34.8357 -0.000336809
  4 6.41667 55.4477 -0.000148177
  5 8.25 46.0446 -2.62205e-05
  6 10.0833 47.3303 8.24563e-05
  7 11.9167 49.6397 -5.53821e-05
  8 13.75 47.7029 -7.54815e-05
  9 15.5833 44.9586 -0.000226343
  10 17.4167 50.3011 2.48096e-06
  11 19.25 44.6869 -0.000383924
  12 21.0833 48.088 -0.000593832
  13 22.9167 47.7629 -0.000451193
  14 24.75 46.4286 -0.000418151
  15 26.5833 47.6491 -2.90699e-05
  16 28.4167 48.6394 4.46136e-05
  17 30.25 50.0134 0.000210975
  18 32.0833 46.9417 0.0002011
  19 33.9167 48.5214 9.67012e-05
  20 35.75 46.8363 0.000727688
  21 37.5833 50.296 0.000828943
  22 39.4167 45.4851 0.00049336
  23 41.25 47.5249 0.000446088
  24 43.0833 53.6266 0.000299684
  25 44.9167 35.286 0.000436192
  26 46.75 77.6751 7.27515e-05
  27 48.5833 0.0565714 0.0039788
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
192500 31 1948.9999999999998
  1 0.916667 362 -0.0017
  2 2.75 67.392 -0.000564538
  3 4.58333 34.9951 -0.000382105
  4 6.41667 57.0869 -0.000613042
  5 8.25 47.8266 -0.000349551
  6 10.0833 49.1174 -0.000291647
  7 11.9167 47.918 0.000211697
  8 13.75 48.3014 -0.000172338
  9 15.5833 48.6331 -0.00047079
  10 17.4167 46.3717 -0.000274761
  11 19.25 51.0714 -0.000248347
  12 21.0833 46.9469 -0.000125519
  13 22.9167 50.2311 -0.000305918
  14 24.75 46.314 -0.000103213
  15 26.5833 46.4437 -0.000267332
  16 28.4167 46.7854 9.14157e-06
  17 30.25 48.2471 0.000199942
  18 32.0833 48.194 0.000269891
  19 33.9167 48.4597 0.000611895
  20 35.75 45.4549 0.000825081
  21 37.5833 47.2366 0.000944481
  22 39.4167 45.1031 0.000753199
  23 41.25 47.0483 0.00053801
  24 43.0833 49.9794 0.000329501
  25 44.9167 35.9263 0.000423253
  26 46.75 73.8043 0.000197335
  27 48.5833 0.111429 0.0001306
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
196000 31 1949
  1 0.916667 362 -0.0017
  2 2.75 67.898 -0.000649647
  3 4.58333 32.2954 -0.000614454
  4 6.41667 54.6737 -0.000468405
  5 8.25 48.2334 -0.000229986
  6 10.0833 47.1571 -0.000327905
  7 11.9167 48.5597 -0.000172822
  8 13.75 47.6803 -0.000404657
  9 15.5833 46.9463 -0.00041626
  10 17.4167 46.3426 -0.000439395
  11 19.25 47.8797 -0.000520433
  12 21.0833 46.6571 -0.0002098
  13 22.9167 48.6006 4.48987e-05
  14 24.75 46.4769 0.000107048
  15 26.5833 49.1103 -0.000180096
  16 28.4167 46.2871 -1.28659e-05
  17 30.25 49.3903 5.10183e-05
  18 32.0833 44.032 0.000310525
  19 33.9167 46.86 0.000438139
  20 35.75 47.7797 0.000508413
  21 37.5833 47.3754 0.000225511
  22 39.4167 49.2777 0.000651802
  23 41.25 47.7514 0.000830682
  24 43.0833 55.3174 0.000673439
  25 44.9167 35.8489 0.0008788
  26 46.75 76.4051 0.000677355
  27 48.5833 0.163714 0.00161569
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
199500 31 1949.0000000000002
  1 0.916667 362.067 -0.00170018
  2 2.75 68.3026 -0.000390472
  3 4.58333 31.3903 -0.000443964
  4 6.41667 60.6694 -0.000599422
  5 8.25 46.1723 -0.000630444
  6 10.0833 46.236 -0.000558022
  7 11.9167 51.1949 -0.00034981
  8 13.75 44.6431 -0.000484394
  9 15.5833 50.2374 -0.000297387
  10 17.4167 44.754 -0.000138597
  11 19.25 51.2371 -0.000110039
  12 21.0833 44.3891 -0.000184462
  13 22.9167 48.394 -0.00018668
  14 24.75 47.3226 -0.000137843
  15 26.5833 47.4517 -0.000185011
  16 28.4167 45.7623 9.53139e-05
  17 30.25 48.6217 0.000232311
  18 32.0833 48.6117 0.000443814
  19 33.9167 46.3334 0.000530698
  20 35.75 47.5423 0.000562243
  21 37.5833 49.008 0.000597418
  22 39.4167 44.4106 0.000478745
  23 41.25 51.3011 0.00052353
  24 43.0833 49.5874 0.00042405
  25 44.9167 38.1226 0.000476355
  26 46.75 72.976 0.000554334
  27 48.5833 0.260857 0.00100432
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
203000 31 1948.9999999999995
  1 0.916667 362 -0.0017
  2 2.75 66.5817 -0.00049622
  3 4.58333 33.3794 -0.000244561
  4 6.41667 58.6411 -0.000275758
  5 8.25 46.6957 -0.000112195
  6 10.0833 47.5486 -0.000393091
  7 11.9167 51.3726 -0.000171416
  8 13.75 45.4103 -5.52387e-06
  9 15.5833 51.2843 -0.000177952
  10 17.4167 44.8583 0.000164488
  11 19.25 49.322 -0.000308847
  12 21.0833 50.386 -0.000295868
  13 22.9167 46.1734 -0.00029381
  14 24.75 48.7449 -4.13659e-05
  15 26.5833 45.8803 -8.0981e-05
  16 28.4167 47.12 0.000124095
  17 30.25 48.324 0.000114152
  18 32.0833 45.1677 0.00026874
  19 33.9167 51.0817 6.76844e-05
