Time-step MSD_X MSD_Y MSD_Z MSD
210000 281.73948548473532583 63.222310179866546775 35.704035925010835228 380.66583158961248046
280000 810.26369181357688376 116.20249469251362484 71.411353592908739074 997.87754009899890661
350000 2071.4648169856277491 178.17825142395577132 113.57028932334434046 2363.2133577329286709
420000 3806.5274851366207258 280.67710746593905924 143.8423980747795099 4231.0469906773369075
490000 5079.668382206109527 345.63602196305237158 160.00643535573763643 5585.3108395248982561
560000 7550.6245889277024617 349.23448709929084544 204.5589523141448467 8104.4180283411378696
630000 10165.165872423925975 404.37075772532188012 233.18090223976824404 10802.717532389020562
700000 12367.597440273204484 476.87514496829049904 252.54835567581105238 13097.020940917309417
770000 14569.313047834099052 558.03672132701058217 260.3001656510954831 15387.649934812199717
840000 17129.701439984757599 574.6328460955336368 265.8128270238524351 17970.147113104139862
910000 20417.465433126333664 571.6124036289693322 278.21255454544905206 21267.290391300753981
980000 23688.833213696841995 590.66970114602418107 273.34053419553112008 24552.843449038387917
1050000 27269.237194064178766 678.55899457276109388 303.63381452842907038 28251.430003165372909
1120000 29838.168063847737358 828.82792061281440965 306.22899091612509892 30973.224975376688235
1190000 32391.207772096971894 943.60564157661735862 307.41208866468622318 33642.225502338274964
1260000 35660.425117033242714 1032.2348305758666811 302.8614605591592408 36995.521408168271591
1330000 38698.966128441861656 1194.2810135673123568 297.505721326550713 40190.752863335721486
1400000 41516.35038383743813 1282.3431527702978201 298.75699600495818231 43097.450532612696406
1470000 44787.655521694185154 1377.2903155442566003 310.33403408725513373 46475.279871325699787
1540000 48125.911027112990269 1295.5346315322444752 315.33810544070496462 49736.783764085943403
1610000 49594.730287315978785 1416.6218432411144477 327.88575013644748424 51339.237880693566694
1680000 52625.170496486258344 1549.3303867334614097 324.61387209174876034 54499.114755311471527
1750000 55510.275834611085884 1617.2906814712216601 331.12652448780909253 57458.693040570091398
1820000 58499.152153637180163 1648.6696841548262 326.99349945714686783 60474.815337249114236
1890000 62189.065735656280594 1698.988323698174554 335.92649921473838504 64223.980558569201094
1960000 67874.257969683589181 1700.0874686462602767 324.91205455808500346 69899.257492887991248
2030000 71691.213882143929368 1680.4309352470372687 342.89280443993123981 73714.53762183089566
2100000 75208.953984226813191 1735.9450706714289936 357.18451011116565041 77302.083565009394079
2170000 81391.208933211411932 1824.8240839620011684 354.70201055226505105 83570.735027725721011
2240000 86374.380106167198392 1918.7869821946467255 343.1839252360006185 88636.351013597828569
2310000 91011.341758245587698 1929.8591964563111105 312.3220455768915258 93253.523000278772088
2380000 94125.424304262691294 2097.215868197715281 311.25618075026198994 96533.896353210671805
2450000 98612.025401423583389 2118.4043947041163847 329.88590877173612625 101060.31570489946171
2520000 101739.18862235028064 2176.4099366234358968 331.5036819484457169 104247.10224092223507
2590000 107053.5379245938675 2211.6268449656276971 320.61885786155437472 109585.78362742102763
2660000 110655.37843855687242 2201.9606408273270972 316.64748568335846812 113173.98656506757834
2730000 115599.74747795557778 2213.2108961798480777 320.40573200909437901 118133.36410614449414
2800000 120121.03605631295068 2313.019716132315807 342.24226050458781856 122776.29803294989688
2870000 125838.4041490178497 2365.5459502293979313 347.0993984354887516 128551.04949768270308
2940000 131010.5445996151393 2448.34439877739851 354.35061880332278861 133813.23961719582439
3010000 135644.50583427984384 2558.2098938700714825 361.54061376659586813 138564.25634191647987
3080000 139959.33891941441107 2551.6870404403362045 375.18127077342074926 142886.20723062811885
3150000 144601.12668452155776 2580.8803738882784273 377.30533962001584314 147559.31239802981145
3220000 148686.39696783243562 2737.4077938539039678 366.80252804492266705 151790.6072897312697
3290000 152392.98077643150464 2813.4821599520983 385.7288418255312763 155592.19177820908953
3360000 156253.40020572725916 2832.6873362145211104 380.21707678633390515 159466.3046187281725
3430000 159033.89208554817014 2922.1564963746513968 367.08645799565329071 162323.13503991844482
3500000 162763.71587039137376 3000.5656127444831327 366.55817435401093007 166130.83965748973424
3570000 166079.07349443383282 3202.6012119043325583 396.56521531720221674 169678.23992165538948
3640000 170832.19183345654164 3258.2372054710695011 379.70361586163915035 174470.13265478913672
